model,param,values_searched,best_value
lexical_baseline,t_low,0.05-0.95 step 0.05,0.55
lexical_baseline,t_high,0.05-0.95 step 0.05,0.8
naive_bayes,alpha,"[0.1, 0.5, 1.0]",0.1
linear_svm,C,"[0.1, 0.5, 1]",1.0
logreg,C,"[0.25, 1, 4] + extension [4, 8, 16]; CV gap < 0.01 -> FEVER-val tiebreaker",4.0
random_forest,n_estimators,"[50, 100, 200, 400]",400.0
random_forest,svd_components,[300],300.0
xgboost,max_depth,[8],8.0
xgboost,learning_rate,[0.1],0.1
xgboost,n_estimators,[400],400.0
xgboost,best_iteration,"early stopping, patience 50 on FEVER val",399.0
random_forest,class_weight,"['None', 'balanced_subsample']",none
