path,url,retrieved_utc,sha256,bytes,http
README.md,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/README.md,2026-09-05T11:23:59.743442+00:00,998af2e8be04de0f5354e06fffeb7930d3887e9c012bbca2b1a201a1fd0cb142,1900,200
config.py,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/config.py,2026-09-05T11:24:00.766804+00:00,bed8e273c926cd06a484a22be49a6955df9798a612038ce76d5ba48abc9c4fb6,9144,200
data/processed/sec_synthetic_test.parquet,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/data/processed/sec_synthetic_test.parquet,2026-09-05T11:24:02.643557+00:00,696a69fe01ba9a12e1a7da798e0773f60f833efe579ca519156d66317510a648,983869,200
output/predictions/bilstm__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/bilstm__fever_test.csv,2026-09-05T11:24:05.052874+00:00,21b6a26912e8faf2c43060ae8ef8b1dbd3ee226e7f1cda508adb9dcdff274b1d,1709348,200
output/predictions/bilstm__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/bilstm__finfact_test.csv,2026-09-05T11:24:06.283644+00:00,0edcf046c390572462c8766a4266a7f241cde8f6916a1c53108a0439a2cb8233,370505,200
output/predictions/bilstm__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/bilstm__sec_synthetic.csv,2026-09-05T11:24:07.288336+00:00,2a42ec7fce98f2b617f6185da25db6019553a3843f78b9c7d16102578d21bec4,352970,200
output/predictions/claim_only_logreg__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/claim_only_logreg__fever_test.csv,2026-09-05T11:24:08.640096+00:00,3a6ead78ae12b0f8823e1b4126d6963c294a7b265b1216c9b3dc885c412139db,1682827,200
output/predictions/claim_only_logreg__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/claim_only_logreg__finfact_test.csv,2026-09-05T11:24:09.931669+00:00,7230b80d5a5d47f9d770bf3d520f75ac2fe42582acb56eb1c9e58da3d580e083,362632,200
output/predictions/claim_only_logreg__sec_synthetic.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/claim_only_logreg__sec_synthetic.csv,2026-09-05T11:24:11.063165+00:00,3a6214c7fbedb8de06f2b50754d5e82e2f4b7c25a4f6a07b57a458113aa2dab1,350109,200
output/predictions/distilbert__fever_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/distilbert__fever_test.csv,2026-09-05T11:24:12.396310+00:00,0bb8a6a91de9351dd10c699ee264c33d53f25801819d43c4a374f0aceaa24802,1684432,200
output/predictions/distilbert__finfact_test.csv,https://anonymous.4open.science/api/repo/factverify-benchmark-5087/file/output/predictions/distilbert__finfact_test.csv,2026-09-05T11:24:13.563645+00:00,88558fa1577bc0a8a945925e1bb400b285305f69ec9bd6262b96db3e8aa6e097,353483,200
